I1_Argumentation	class	I1Argumentation	Argumentation	This class comprises the activity of making honest inferences or observations. An honest inference or observation is one in which the E39 Actor carrying out the I1 Argumentation justifies and believes that the I6 Belief Value associated with resulting I2 Belief about the I4 Proposition Set is the correct value at the time that the activity was undertaken and that any I3 Inference Logic  or methodology was correctly applied.\n         Only one instance of E39 Actor may carry out an instance of I1 Argumentation, though the E39 Actor may, of course, be an instance of E74 Group.	
http://www.ics.forth.gr/isl/CRMsci/S4_Observation	class	S4Observation	Observation		I1_Argumentation
I2_Belief	class	I2Belief	Belief	This class comprises the notion that the associated I4 Proposition Set is held to have a particular I6 Belief Value by a particular E39 Actor. This can be understood as the period of time that an individual or group holds a particular set of propositions to be true, false or somewhere in between.	http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity
I3_Inference_Logic	class	I3InferenceLogic	Inference logic	This class comprises the rules used as inputs to I5 Inference Making.\n            In this context the term “logic” is used in the most general sense of the Greek term, and not in the mathematical sense only. Examples are the direct application of formal logic, mathematical theories and calculus, formal or informal default reasoning based on default values associated with categories, probabilistic reasoning based mathematical models and assumed or observed frequencies for certain categories, application of theoretical social models and comparisons with “cultural parallels”, etc. An instance of Inference Logic could also be a reference to the exact software release of a Bayesian reasoner, a rule such as “later layers are on top of earlier layers”, or even a term like “social intuition”, if this is scholarly acceptable. (after Doerr, Kritsotaki and Boutsika 2011). Indeed anything that is scientifically or academically acceptable as a method for drawing conclusions may be included for instance human pattern recognition.\n            A particular instance of I3 Inference Logic would be the algorithm implemented in a particular revision of a software package.\n            Instances of I3 Inference Logic not only comprise the method of reasoning, but also the set of categorical laws or axioms used in the argumentation. Often both are inextricably interwoven, for instance in a software implementation.	http://www.cidoc-crm.org/cidoc-crm/E89_Propositional_Object
I4_Proposition_Set	class	I4PropositionSet	Proposition set	This class comprises the sets of formal, binary propositions that an I2 Belief is held about. It could be implemented as a named graph, a spreadsheet or any other structured data-set. Regardless of the specific syntax employed, the effective propositions it contains should be made up of unambiguous identifiers, concepts of a formal ontology and constructs of logic.	http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
I5_Inference_Making	class	I5InferenceMaking	Inference making	This class comprises the action of making honest propositions and statements about particular states of affairs in reality or in possible realities or categorical descriptions of reality by using inferences from other statements based on hypotheses and any form of formal or informal logic. It includes evaluations, calculations, and interpretations based on mathematical formulations and propositions.\n            It is characterized by the use of an existing I2 Belief as the premise that together with a set of I3 Inference Logic draws a further I2 Belief as a conclusion.\n            Documenting instances of I5 Inference Making primarily enables tracing the dependency of knowledge from conclusion to premise through subsequent inferences, possibly back to primary evidence, so that the range of influence of knowledge revision at any intermediate stage of complex inference chains on current convictions can be narrowed down by query. The explicit reference to the applied inference logic further allows scholars or scientists to assess if they can or would follow the documented argument. The class is not intended to promote the use of computationally decidable systems of logic as replacements of scholarly justifications of arguments, even though it allows for documenting the use of decidable logic, if that was deemed adequate for the problem at hand.  Principles of scholarly justifications of arguments are also regarded as kinds of inference logic.	I1_Argumentation
http://www.ics.forth.gr/isl/CRMsci/S6_Data_Evaluation	class	S6DataEvaluation	Data Evaluation		I5_Inference_Making
http://www.ics.forth.gr/isl/CRMsci/S7_Simulation_or_Prediction	class	S7SimulationOrPrediction	Simulation or prediction		I5_Inference_Making
http://www.ics.forth.gr/isl/CRMsci/S8_Categorical_Hypothesis_Building	class	S8CategoricalHypothesisBuilding	Categorical hypothesis building		I5_Inference_Making
I7_Belief_Adoption	class	I7BeliefAdoption	Belief adoption	This class comprises the action of an E39 Actor adopting a particular instance of I2 Belief to create a new instance of I2 Belief that shares some of the same propositions in the original I4 Proposition Set and the associated I6 Belief Value.\n        The basis of I7 Belief Adoption is trust in the source of the instance of I2 Belief rather than the application of the rules in instances of I3 Inference Logic.\n            Typical examples are the citation of academic papers or the reuse of data sets.\n        Where an instance of I7 Belief Adoption is based on personal communication (pers.comm.) this should be represented by using P2 has type: “Pers.Comm.” directly from the instance of I7 Belief Adoption.	I1_Argumentation
J1_used_as_premise	property	used_as_premise	Used as premise	This property associates an instance of I2 Belief with the instance of I5 Inference Making that used it as a premise.	http://www.cidoc-crm.org/cidoc-crm/P17_was_motivated_by	I5_Inference_Making	I2_Belief		10000
J1i_was_premise_for	property	premise_for	Was premise for		http://www.cidoc-crm.org/cidoc-crm/P17i_motivated	I2_Belief	I5_Inference_Making		10000
J2_concluded_that	property	concluded_that	Concluded that	This property associates an instance of I2 Belief with the instance of I1 Argumentation that concluded it.	http://www.cidoc-crm.org/cidoc-crm/P116_starts	I1_Argumentation	I2_Belief		10000
J2i_was_concluded_by	property	concluded_by	Was conclued by		http://www.cidoc-crm.org/cidoc-crm/P116i_is_started_by	I2_Belief	I1_Argumentation		10000
J3_applies	property	applies	Applies	This property associates an instance of I3 Inference Logic with the instance of I5 Inference Making that used it to draw its conclusion.	http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object	I5_Inference_Making	I3_Inference_Logic		10000
J3i_was_applied_by	property	applied_by	Was applied by		http://www.cidoc-crm.org/cidoc-crm/P16i_was_used_for	I3_Inference_Logic	I5_Inference_Making		10000
J4_that	property	that	That	This property associates an instance of I4 Proposition Set with the instance of I2 Belief that holds an opinion about it.		I2_Belief	I4_Proposition_Set		10000
J4i_is_subject_of	property	subject_of	Is subject of			I4_Proposition_Set	I2_Belief		10000
J5_holds_to_be	property	holds_to_be	Holds to be		O2_removed	I2_Belief	rdfs:Literal		10000
J6_adopted	property	adopted	Adopted	This property associates an instance of I2 Belief with the instance of I7 Belief Adoption that used it as the source of the I6 Belief Value and propositions used in the resulting new I2 Belief.	http://www.cidoc-crm.org/cidoc-crm/P17_was_motivated_by	I7_Belief_Adoption	I2_Belief		10000
J6i_adopted_by	property	adopted_by	Adopted by		http://www.cidoc-crm.org/cidoc-crm/P17i_motivated	I2_Belief	I7_Belief_Adoption		10000
J7_is_based_on_evidence	property	based_on_evidence	Is based on evidence	This property associates an instance of I7 Belief Adoption with the instance of E73 Information Object that was the source of or evidence for the I4 Proposition Set that was adopted.	http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object	I7_Belief_Adoption	crm:E73_Information_Object		10000
J7i_is_evidence_for	property	evidence_for	Is evidence for		http://www.cidoc-crm.org/cidoc-crm/P16i_was_used_for	crm:E73_Information_Object	I7_Belief_Adoption		10000
